-3.71026	2.02318	263.827
-3.83626	5.0145	264.031
-3.96225	8.00549	264.236
-4.08831	10.9982	264.44
-4.21418	13.9864	264.645
-4.34011	16.9761	264.849
-4.46588	19.9621	265.053
-4.59172	22.9496	265.257
-4.7174	25.9331	265.461
-4.84303	28.9156	265.665
-4.96849	31.8943	265.868
-3.11791	1.79636	265.262
-3.2461	4.78744	265.467
-3.3743	7.77909	265.673
-3.50255	10.7716	265.878
-3.63065	13.7607	266.083
-3.75876	16.7502	266.288
-3.88675	19.7368	266.493
-4.0148	22.7246	266.698
-4.14266	25.7084	266.903
-4.27047	28.6905	267.108
-4.39813	31.6695	267.312
-3.394	1.90198	264.318
-3.5391	4.89308	264.519
-3.68424	7.88511	264.72
-3.8294	10.8776	264.922
-3.97435	13.8656	265.123
-4.11945	16.8568	265.324
-4.26433	19.8435	265.525
-4.40922	22.8302	265.726
-4.55397	25.8141	265.927
-4.69871	28.798	266.128
-4.84322	31.777	266.328
-3.29109	1.79875	264.768
-3.4242	4.79077	264.972
-3.55729	7.78265	265.176
-3.6904	10.7748	265.38
-3.82337	13.7639	265.584
-3.95635	16.7531	265.788
-4.08925	19.7406	265.992
-4.22215	22.7281	266.195
-4.35487	25.7115	266.399
-4.48759	28.6948	266.602
-4.6201	31.6735	266.806
-2.6163	1.6214	266.501
-2.74836	4.61215	266.712
-2.88045	7.6035	266.924
-3.01255	10.5949	267.135
-3.14456	13.5845	267.346
-3.27659	16.5744	267.557
-3.40847	19.5611	267.768
-3.54037	22.5481	267.979
-3.67214	25.5323	268.189
-3.80383	28.5144	268.4
-3.93539	31.4939	268.61
-3.01576	1.82706	265.496
-3.15095	4.81861	265.699
-3.28614	7.81022	265.901
-3.42135	10.8024	266.103
-3.55643	13.7915	266.305
-3.69158	16.7823	266.507
-3.82654	19.7689	266.709
-3.96155	22.7566	266.911
-4.0964	25.7406	267.113
-4.2312	28.7235	267.314
-4.36586	31.7034	267.516
-2.98801	1.74266	265.661
-3.11802	4.73381	265.86
-3.24807	7.72597	266.059
-3.37812	10.7184	266.258
-3.50809	13.7086	266.457
-3.63807	16.6992	266.656
-3.76791	19.6866	266.855
-3.89774	22.6737	267.054
-4.02743	25.6576	267.253
-4.15714	28.6418	267.451
-4.28667	31.622	267.649
-2.84374	1.64161	265.972
-2.97775	4.63408	266.17
-3.11171	7.62562	266.367
-3.24579	10.62	266.565
-3.3796	13.6081	266.763
-3.51356	16.5998	266.96
-3.64737	19.5879	267.158
-3.78119	22.5763	267.355
-3.91479	25.5599	267.552
-4.04849	28.5456	267.749
-4.18192	31.5254	267.946
-3.01452	2.00083	265.525
-3.14766	4.99217	265.734
-3.28079	7.98338	265.942
-3.41399	10.976	266.151
-3.54697	13.9638	266.359
-3.68008	16.9543	266.567
-3.81304	19.9416	266.775
-3.946	22.9289	266.984
-4.07881	25.913	267.191
-4.21158	28.8958	267.399
-4.34418	31.875	267.607
-3.76154	2.03215	263.583
-3.8935	5.02327	263.785
-4.02548	8.01498	263.987
-4.15747	11.0067	264.189
-4.28938	13.9967	264.391
-4.42126	16.9862	264.593
-4.55303	19.9731	264.795
-4.6848	22.9598	264.997
-4.81644	25.9438	265.198
-4.94805	28.9271	265.4
-5.0795	31.9066	265.601
-3.32981	1.80954	264.688
-3.46079	4.80127	264.895
-3.59175	7.79281	265.101
-3.72275	10.7851	265.307
-3.85363	13.7746	265.514
-3.98451	16.7643	265.72
-4.11527	19.751	265.926
-4.24606	22.7385	266.132
-4.37664	25.7215	266.337
-4.50726	28.705	266.543
-4.63766	31.6836	266.749
